Date Hours Minutes Seconds  R G B  "delta seconds"  "delta r" "delta g" "delta b"
08-07 12 29 56.94  66 40 0      
08-07 12 29 57.031  66 40 8  0.091 0 0 0 8
08-07 12 29 57.051  66 40 8  0.02 0 0 0 0
08-07 12 29 57.131  66 8 0  0.08 0 0 -32 -8
08-07 12 29 57.211  66 40 8  0.08 0 0 32 8
08-07 12 29 57.241  66 8 0  0.03 0 0 -32 -8
08-07 12 29 57.311  66 8 8  0.07 0 0 0 8
08-07 12 29 57.341  66 8 0  0.03 0 0 0 -8
08-07 12 29 57.431  66 40 0  0.09 0 0 32 0
08-07 12 29 57.481  57 203 0  0.05 0 -9 163 0
08-07 12 29 57.511  66 8 8  0.03 0 9 -195 8
08-07 12 29 57.582  66 8 8  0.071 0 0 0 0
08-07 12 29 57.722  66 40 8  0.14 0 0 32 0
08-07 12 29 57.802  66 8 0  0.08 0 0 -32 -8
08-07 12 29 57.822  66 40 8  0.02 0 0 32 8
08-07 12 29 57.892  66 40 8  0.07 0 0 0 0
08-07 12 29 57.942  66 4 255  0.05 0 0 -36 247
08-07 12 29 58.092  66 40 8  0.15 0 0 36 -247
08-07 12 29 58.112  66 40 8  0.02 0 0 0 0
08-07 12 29 58.202  66 73 0  0.09 0 0 33 -8
08-07 12 29 58.282  66 8 0  0.08 0 0 -65 0
08-07 12 29 58.312  57 203 0  0.03 0 -9 195 0
08-07 12 29 58.392  66 8 8  0.08 0 9 -195 8
08-07 12 29 58.462  66 40 8  0.07 0 0 32 0
08-07 12 29 58.562  66 40 8  0.1 0 0 0 0
08-07 12 29 58.592  66 8 0  0.03 0 0 -32 -8
08-07 12 29 58.653  66 40 8  0.061 0 0 32 8
08-07 12 29 58.773  66 8 0  0.12 0 0 -32 -8
08-07 12 29 58.813  66 40 0  0.04 0 0 32 0
08-07 12 29 58.873  57 231 255  0.06 0 -9 191 255
08-07 12 29 58.923  66 73 16  0.05 0 9 -158 -239
08-07 12 29 58.953  66 4 255  0.03 0 0 -69 239
08-07 12 29 59.023  66 8 0  0.07 0 0 4 -255
08-07 12 29 59.073  66 8 0  0.05 0 0 0 0
08-07 12 29 59.133  66 8 0  0.06 0 0 0 0
08-07 12 29 59.193  66 8 0  0.06 0 0 0 0
08-07 12 29 59.263  66 8 8  0.07 0 0 0 8
08-07 12 29 59.333  66 40 8  0.07 0 0 32 0
08-07 12 29 59.363  57 235 0  0.03 0 -9 195 -8
08-07 12 29 59.453  66 8 0  0.09 0 9 -227 0
08-07 12 29 59.493  66 8 8  0.04 0 0 0 8
08-07 12 29 59.613  66 40 8  0.12 0 0 32 0
08-07 12 29 59.664  66 36 247  0.051 0 0 -4 239
08-07 12 29 59.684  66 40 16  0.02 0 0 4 -231
08-07 12 29 59.774  66 40 0  0.09 0 0 0 -16
08-07 12 29 59.824  57 235 0  0.05 0 -9 195 0
08-07 12 29 59.854  66 40 8  0.03 0 9 -195 8
08-07 12 29 59.914  66 8 0  0.06 0 0 -32 -8
08-07 12 29 59.964  66 73 0  0.05 0 0 65 0
08-07 12 30 0.014  66 40 0  -59.95 0 0 -33 0
08-07 12 30 0.104  66 69 255  0.09 0 0 29 255
08-07 12 30 0.124  66 4 255  0.02 0 0 -65 0
08-07 12 30 0.184  66 8 0  0.06 0 0 4 -255
08-07 12 30 0.214  66 4 255  0.03 0 0 -4 255
08-07 12 30 0.294  66 8 0  0.08 0 0 4 -255
08-07 12 30 0.364  66 73 8  0.07 0 0 65 8
08-07 12 30 0.424  66 73 24  0.06 0 0 0 16
08-07 12 30 0.494  66 8 8  0.07 0 0 -65 -16
08-07 12 30 0.604  57 235 8  0.11 0 -9 227 0
08-07 12 30 0.665  66 40 8  0.061 0 9 -195 0
08-07 12 30 0.705  66 73 16  0.04 0 0 33 8
08-07 12 30 0.815  66 40 16  0.11 0 0 -33 0
08-07 12 30 0.875  66 8 0  0.06 0 0 -32 -16
08-07 12 30 0.905  66 40 8  0.03 0 0 32 8
08-07 12 30 0.985  66 40 16  0.08 0 0 0 8
08-07 12 30 1.065  66 8 0  0.08 0 0 -32 -16
08-07 12 30 1.125  66 73 8  0.06 0 0 65 8
08-07 12 30 1.205  57 235 0  0.08 0 -9 162 -8
08-07 12 30 1.235  66 8 0  0.03 0 9 -227 0
08-07 12 30 1.345  57 235 16  0.11 0 -9 227 16
08-07 12 30 1.365  66 8 0  0.02 0 9 -227 -16
08-07 12 30 1.425  57 235 16  0.06 0 -9 227 16
08-07 12 30 1.495  66 73 8  0.07 0 9 -162 -8
08-07 12 30 1.555  66 8 0  0.06 0 0 -65 -8
08-07 12 30 1.635  66 40 8  0.08 0 0 32 8
08-07 12 30 1.655  66 73 8  0.02 0 0 33 0
08-07 12 30 1.716  57 235 0  0.061 0 -9 162 -8
08-07 12 30 1.776  66 8 0  0.06 0 9 -227 0
08-07 12 30 1.856  66 8 0  0.08 0 0 0 0
08-07 12 30 1.926  57 231 255  0.07 0 -9 223 255
08-07 12 30 2.036  66 4 247  0.11 0 9 -227 -8
08-07 12 30 2.096  66 36 255  0.06 0 0 32 8
08-07 12 30 2.116  57 203 0  0.02 0 -9 167 -255
08-07 12 30 2.206  66 8 0  0.09 0 9 -195 0
08-07 12 30 2.266  66 73 8  0.06 0 0 65 8
08-07 12 30 2.336  57 235 0  0.07 0 -9 162 -8
08-07 12 30 2.356  66 4 255  0.02 0 9 -231 255
08-07 12 30 2.446  66 40 8  0.09 0 0 36 -247
08-07 12 30 2.526  57 231 255  0.08 0 -9 191 247
08-07 12 30 2.546  66 8 8  0.02 0 9 -223 -247
08-07 12 30 2.636  57 231 255  0.09 0 -9 223 247
08-07 12 30 2.656  66 8 8  0.02 0 9 -223 -247
08-07 12 30 2.717  57 231 255  0.061 0 -9 223 247
08-07 12 30 2.797  57 166 255  0.08 0 0 -65 0
08-07 12 30 2.827  57 166 247  0.03 0 0 0 -8
08-07 12 30 2.927  66 8 0  0.1 0 9 -158 -247
08-07 12 30 2.957  66 4 247  0.03 0 0 -4 247
08-07 12 30 3.067  66 40 0  0.11 0 0 36 -247
08-07 12 30 3.137  66 8 0  0.07 0 0 -32 0
08-07 12 30 3.197  66 8 0  0.06 0 0 0 0
08-07 12 30 3.267  66 8 0  0.07 0 0 0 0
08-07 12 30 3.317  66 4 255  0.05 0 0 -4 255
08-07 12 30 3.377  57 203 0  0.06 0 -9 199 -255
08-07 12 30 3.397  66 8 0  0.02 0 9 -195 0
08-07 12 30 3.457  66 40 8  0.06 0 0 32 8
08-07 12 30 3.527  66 8 0  0.07 0 0 -32 -8
08-07 12 30 3.587  66 8 0  0.06 0 0 0 0
08-07 12 30 3.647  57 231 255  0.06 0 -9 223 255
08-07 12 30 3.697  66 73 0  0.05 0 9 -158 -255
08-07 12 30 3.758  66 40 0  0.061 0 0 -33 0
08-07 12 30 3.868  66 8 0  0.11 0 0 -32 0
08-07 12 30 3.938  57 235 0  0.07 0 -9 227 0
08-07 12 30 3.988  57 235 0  0.05 0 0 0 0
08-07 12 30 4.008  66 40 8  0.02 0 9 -195 8
08-07 12 30 4.088  57 203 0  0.08 0 -9 163 -8
08-07 12 30 4.158  57 199 247  0.07 0 0 -4 247
08-07 12 30 4.228  57 235 0  0.07 0 0 36 -247
08-07 12 30 4.288  66 4 255  0.06 0 9 -231 255
08-07 12 30 4.368  66 8 0  0.08 0 0 4 -255
08-07 12 30 4.428  66 8 0  0.06 0 0 0 0
08-07 12 30 4.498  57 166 247  0.07 0 -9 158 247
